Modular Scale
/* Modular Scale 
---------------------- 
16px @ 1:1.618	 
55px @ 1:1.618	 
----------------------*/

Pixels	Ems	Ems @16	% of 13
986.810	61.676	61.676	7,590.846
751.538	46.971	46.971	5,781.062
609.895	38.118	38.118	4,691.500
464.486	29.03	29.03	3,572.969
376.944	23.559	23.559	2,899.569
287.074	17.942	17.942	2,208.262
232.969	14.561	14.561	1,792.069
177.425	11.089	11.089	1,364.808
143.986	8.999	8.999	1,107.585
109.657	6.854	6.854	843.515
88.990	5.562	5.562	684.538
67.773	4.236	4.236	521.331
55.000	3.438	3.438	423.077
41.887	2.618	2.618	322.208
33.993	2.125	2.125	261.485
25.888	1.618	1.618	199.138
21.009	1.313	1.313	161.608
16.000	1	1	123.077
12.985	0.812	0.812	99.885
9.889	0.618	0.618	76.069
8.025	0.502	0.502	61.731
6.112	0.382	0.382	47.015
4.960	0.31	0.31	38.154
3.778	0.236	0.236	29.062
3.066	0.192	0.192	23.585
2.335	0.146	0.146	17.962
1.895	0.118	0.118	14.577
1.443	0.09	0.09	11.100
1.171	0.073	0.073	9.008
